season,team_id,team_name,organization_id,franchise_slot_id,nickname,player_key_raw,player_key,player_id,role_raw,role,member_type,observed_at,valid_from,valid_to,temporal_basis,source_url
18,DEWA,Dewa United Esports,DEWA,MPLID_SLOT_DEWA,RUL GOOD,rulgood,rulgood,PLY_RULGOOD_9042E792,Roam,roamer,player,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/dewa
18,DEWA,Dewa United Esports,DEWA,MPLID_SLOT_DEWA,COACH RIGHT,coachright,coachright,PLY_COACHRIGHT_04E12956,Coach,coach,staff,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/dewa
18,DEWA,Dewa United Esports,DEWA,MPLID_SLOT_DEWA,LAUFEYSON,laufeyson,laufeyson,PLY_LAUFEYSON_68A64DA1,Analyst,analyst,staff,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/dewa
18,EVOS,EVOS,EVOS,MPLID_SLOT_EVOS,ALBERTTT,alberttt,alberttt,PLY_ALBERTTT_8CA416B3,Jungle,jungler,player,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/evos
18,EVOS,EVOS,EVOS,MPLID_SLOT_EVOS,ERLAN,erlan,erlan,PLY_ERLAN_14452AF9,Gold Lane,gold_lane,player,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/evos
18,EVOS,EVOS,EVOS,MPLID_SLOT_EVOS,MUEZZA,muezza,muezza,PLY_MUEZZA_D0E3502F,Roam,roamer,player,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/evos
18,EVOS,EVOS,EVOS,MPLID_SLOT_EVOS,RENDYYY,rendyyy,rendyyy,PLY_RENDYYY_B965753A,EXP Lane,exp_lane,player,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/evos
18,EVOS,EVOS,EVOS,MPLID_SLOT_EVOS,Ryzaa,ryzaa,ryzaa,PLY_RYZAA_5533A2E9,Mid Lane,mid_lane,player,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/evos
18,EVOS,EVOS,EVOS,MPLID_SLOT_EVOS,VELL,vell,vell,PLY_VELL_ED58D5CA,EXP Lane,exp_lane,player,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/evos
18,EVOS,EVOS,EVOS,MPLID_SLOT_EVOS,ALDO,aldo,aldo,PLY_ALDO_7722ABA4,Coach,coach,staff,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/evos
18,EVOS,EVOS,EVOS,MPLID_SLOT_EVOS,BRAVO,bravo,bravo,PLY_BRAVO_F144A690,Analyst,analyst,staff,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/evos
18,GEEK,Geek Fam,GEEK,MPLID_SLOT_GEEK,ABOYY,aboyy,aboyy,PLY_ABOYY_DD685360,Mid Lane,mid_lane,player,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/geek
18,GEEK,Geek Fam,GEEK,MPLID_SLOT_GEEK,FEBRIII,febriii,febriii,PLY_FEBRIII_9E5CEBA3,EXP Lane,exp_lane,player,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/geek
18,GEEK,Geek Fam,GEEK,MPLID_SLOT_GEEK,Frenzyy,frenzyy,frenzyy,PLY_FRENZYY_AF8D2461,Roam,roamer,player,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/geek
18,GEEK,Geek Fam,GEEK,MPLID_SLOT_GEEK,KENNZYYSKIE,kennzyyskie,kennzyyskie,PLY_KENNZYYSKIE_C1B628F8,Gold Lane,gold_lane,player,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/geek
18,GEEK,Geek Fam,GEEK,MPLID_SLOT_GEEK,MARCEL,marcel,marcel,PLY_MARCEL_1F7D8737,EXP Lane,exp_lane,player,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/geek
18,GEEK,Geek Fam,GEEK,MPLID_SLOT_GEEK,NAZARA,nazara,nazara,PLY_NAZARA_2D28F7CD,Jungle,jungler,player,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/geek
18,GEEK,Geek Fam,GEEK,MPLID_SLOT_GEEK,ERPANG,erpang,erpang,PLY_ERPANG_AA7DC1EE,Coach,coach,staff,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/geek
18,GEEK,Geek Fam,GEEK,MPLID_SLOT_GEEK,VIVY,vivy,vivy,PLY_VIVY_80AF6472,Asst. Coach,assistant_coach,staff,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/geek
18,NAVI,NAVI,NAVI,MPLID_SLOT_AEROWOLF_REBELLION_NAVI,ANDORYUUU,andoryuuu,andoryuuu,PLY_ANDORYUUU_57DE73D0,Jungle,jungler,player,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/navi
18,NAVI,NAVI,NAVI,MPLID_SLOT_AEROWOLF_REBELLION_NAVI,APRHO,aprho,aprho,PLY_APRHO_1E8753B8,Roam,roamer,player,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/navi
18,NAVI,NAVI,NAVI,MPLID_SLOT_AEROWOLF_REBELLION_NAVI,FEBBB,febbb,febbb,PLY_FEBBB_B19120AF,EXP Lane,exp_lane,player,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/navi
18,NAVI,NAVI,NAVI,MPLID_SLOT_AEROWOLF_REBELLION_NAVI,JIIZEE,jiizee,jiizee,PLY_JIIZEE_396094EB,Mid Lane,mid_lane,player,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/navi
